scenarioId,visibility,visibilityPercent,instanceCount,viewCount,pairCount,samplesPerVariant,baselineGpuMeanMs,optimizedGpuMeanMs,meanSpeedupPercent,baselineGpuP50Ms,optimizedGpuP50Ms,p50SpeedupPercent,baselineGpuP95Ms,optimizedGpuP95Ms,p95SpeedupPercent,pairedMedianSpeedupPercent,pairedMinSpeedupPercent,pairedMaxSpeedupPercent,decision,validationRows,validationFailures,nativeTimestampReadyRows
visible5-n1048576-v4,visible5,5,1048576,4,4,3600,4.225920284444434,0.29030655999999017,93.13033515874388,4.220928,0.27136,93.5710819990296,4.473856,0.500736,88.80750743877317,93.13276355023429,93.11882897338583,93.13697941395289,material-improvement,4,0,9000
visible25-n1048576-v4,visible25,25,1048576,4,4,3600,4.366939022222213,1.0418858666666615,76.14150641067401,4.352,0.974848,77.60000000000001,4.60288,1.262592,72.56952169076752,76.14341275839178,76.11645985280626,76.16271740885624,material-improvement,4,0,9000
visible75-n1048576-v4,visible75,75,1048576,4,4,3600,3.524241920000004,1.943808853333339,44.84462481697803,3.554304,1.840128,48.228176318063966,3.80928,2.3091711999999998,39.38037634408603,44.86170529472308,44.76549365030735,44.88952064745055,material-improvement,4,0,9000
visible100-n1048576-v4,visible100,100,1048576,4,4,3600,2.416211057777772,2.407898453333336,0.3440346991906067,2.280448,2.280448,0,2.752512,2.750464,0.07440476190475565,0.051350035915272915,-0.08228678812589012,1.3427254000403142,parity,4,0,9000
