"round","mode","device","frameAverageMs","frameP95Ms","frameP99Ms","gpuAverageMs","gpuP95Ms","gpuP99Ms","mainAverageMs","mainP99Ms","sensorCompletedFrames","sensorDroppedFrames","sensorMPointsPerSecond","sensorOutputGiBPerSecond","sensorHostWorkAverageMs","sensorHostWorkP99Ms","sensorLatencyAverageMs","sensorLatencyP99Ms","sensorMaximumPointError"
"1","off","AMD Radeon AI PRO R9700","9.374","9.405","9.777","9.234","9.296","9.343","9.371","10.193","0","0","0.000","0.000","unavailable","unavailable","unavailable","unavailable","0.00000000"
"1","cpu","AMD Radeon AI PRO R9700","9.426","9.494","10.683","9.287","9.363","9.389","9.422","11.364","170","0","27.704","0.413","0.418","0.533","0.418","0.533","0.00000000"
"1","gpu","AMD Radeon AI PRO R9700","9.426","9.493","9.592","9.307","9.390","9.426","9.423","9.923","170","0","27.702","0.413","0.008","0.015","28.263","31.906","0.00000095"
"2","off","AMD Radeon AI PRO R9700","9.396","9.467","9.654","9.279","9.354","9.390","9.393","9.793","0","0","0.000","0.000","unavailable","unavailable","unavailable","unavailable","0.00000000"
"2","cpu","AMD Radeon AI PRO R9700","9.385","9.452","9.772","9.259","9.334","9.368","9.381","10.373","169","0","27.662","0.412","0.413","0.512","0.413","0.512","0.00000000"
"2","gpu","AMD Radeon AI PRO R9700","9.598","9.677","9.752","9.499","9.569","9.612","9.595","9.750","173","0","27.688","0.413","0.008","0.014","28.791","33.123","0.00000095"
"3","off","AMD Radeon AI PRO R9700","9.582","9.653","9.683","9.483","9.547","9.578","9.579","9.698","0","0","0.000","0.000","unavailable","unavailable","unavailable","unavailable","0.00000000"
"3","cpu","AMD Radeon AI PRO R9700","9.639","9.675","9.809","9.508","9.568","9.686","9.636","9.807","174","0","27.727","0.413","0.411","0.474","0.411","0.474","0.00000000"
"3","gpu","AMD Radeon AI PRO R9700","9.626","9.684","9.740","9.509","9.576","9.630","9.623","9.745","173","0","27.607","0.411","0.008","0.012","28.874","31.227","0.00000095"
