"workloadId","baselineBackend","selectedBackend","accepted","calibrationSamplesPerCandidate","baselineMedianMs","selectedMedianMs","baselineP99Ms","selectedP99Ms","calibrationImprovementPercent","calibrationAbsoluteReductionMs","calibrationP99ImprovementPercent","calibrationMeetsUpgradeGate","evaluationPairs","evaluationPositiveWins","evaluationGpuAverageImprovementMedianPercent","evaluationGpuP99ImprovementMedianPercent","evaluationGpuAverageAbsoluteReductionMedianMs","candidateEvaluationRequiredPositiveWins","candidateEvaluationPositiveWins","candidateEvaluationGpuAverageImprovementMedianPercent","candidateEvaluationGpuP99ImprovementMedianPercent","candidateEvaluationGpuAverageAbsoluteReductionMedianMs","candidateMeetsUpgradeGate","selectionConfirmed"
"exclusive-scan","Portable","WaveOps","True","1800","0.036864","0.024576","0.083968","0.031744","33.33333333333333","0.012288","62.19512195121951","True","4","4","38.85613393448309","37.49999999999999","0.012322","3","4","38.85613393448309","37.49999999999999","0.012322","True","True"
"radix-sort-32","Portable","Portable","True","1800","2.921472","2.921472","3.38944","3.38944","0.9463722397476381","0.027648000000000117","1.057401812688818","False","4","0","0","0","0","3","4","1.148306159481515","1.0054844606946995","0.032280000000000086","False","True"
"stable-compaction","Portable","WaveOps","True","1800","0.041984","0.029696","0.044032","0.033792","29.268292682926827","0.012288","23.25581395348837","True","4","4","29.3755980861244","28.571428571428566","0.012278999999999998","3","4","29.3755980861244","28.571428571428566","0.012278999999999998","True","True"
