"operation","pairedRounds","hasExactThreePairs","positiveGpuAveragePairCount","positiveGpuAveragePairGate","gpuAverageMedianPercentGate","gpuAverageAbsoluteReductionMedianMs","gpuAverageMedianAbsoluteGate","gpuP99NoWorseThanMinus5PercentGate","correctnessInvariant","readbackInvariant","residentBytesInvariant","sharedResidentBytes","meetsFrozenImprovementGate","classification","gpuAverageImprovementMedianPercent","gpuAverageImprovementMinimumPercent","gpuAverageImprovementMaximumPercent","gpuP99ImprovementMedianPercent","gpuP99ImprovementMinimumPercent","gpuP99ImprovementMaximumPercent","frameAverageImprovementMedianPercent","frameP99ImprovementMedianPercent","allGpuAveragePairsImproved","allGpuP99PairsImproved"
"append-compaction","3","1","1","0","0","-0.00033500000000000196","0","1","1","1","1","42500296","0","negative","-1.4300350038418934","-1.642710472279256","1.9557685458018985","0","-3.225806451612894","0","-0.6693655862606548","4.619630325022986","0","0"
"exclusive-scan","3","1","3","1","1","0.012313999999999999","1","1","1","1","1","42500296","1","accepted","38.80672321907226","38.77936637903886","50.39705163707444","37.49999999999999","37.49999999999999","46.15384615384615","-0.9341855039504474","-1.9375796029492514","1","1"
"histogram-16","3","1","0","0","0","-0.060636999999999996","0","0","1","1","1","42500296","0","negative","-31.362884038481425","-32.54881477270982","-22.646408123893213","-8.948194662480374","-9.162717219589258","0.8583690987124363","-27.064110596751878","-20.138003015191945","0","0"
"radix-sort-32","3","1","3","1","0","0.03978700000000002","1","1","1","1","1","42500296","0","neutral-or-inconclusive","1.4156988970308295","0.10445681202258619","1.422619677831378","0.8484848484848428","0.243457090687759","1.180744777475022","1.4306461660087388","0.5085462019481692","1","1"
"stable-compaction","3","1","3","1","1","0.012246999999999997","1","1","1","1","1","42500296","1","accepted","29.347487479331907","29.22185232198884","29.37417733636473","28.571428571428566","28.571428571428566","28.571428571428566","-1.1379219656979602","-0.9903821228811373","1","1"
