"processId","round","order","operation","portableGpuRegionAverageMs","waveGpuRegionAverageMs","gpuAverageImprovementPercent","gpuAverageAbsoluteReductionMs","portableGpuRegionP99Ms","waveGpuRegionP99Ms","gpuP99ImprovementPercent","portableFrameAverageMs","waveFrameAverageMs","frameAverageImprovementPercent","portableFrameP99Ms","waveFrameP99Ms","frameP99ImprovementPercent","portableEnqueueAverageMs","waveEnqueueAverageMs","enqueueImprovementPercent"
"10920","1","control/empty-command-buffer>append-compaction/portable>append-compaction/wave-ops>exclusive-scan/portable>exclusive-scan/wave-ops>histogram-16/portable>histogram-16/wave-ops>radix-sort-32/portable>radix-sort-32/wave-ops>stable-compaction/portable>stable-compaction/wave-ops","append-compaction","0.030883","0.030279","1.9557685458018985","0.0006040000000000004","0.031744","0.032768","-3.225806451612894","0.198845","0.200176","-0.6693655862606548","0.459106","0.437897","4.619630325022986","0.005749","0.005927","-3.0961906418507605"
"10920","1","control/empty-command-buffer>append-compaction/portable>append-compaction/wave-ops>exclusive-scan/portable>exclusive-scan/wave-ops>histogram-16/portable>histogram-16/wave-ops>radix-sort-32/portable>radix-sort-32/wave-ops>stable-compaction/portable>stable-compaction/wave-ops","exclusive-scan","0.049112","0.024361","50.39705163707444","0.024751000000000002","0.053248","0.028672","46.15384615384615","0.204028","0.205934","-0.9341855039504474","0.427905","0.436196","-1.9375796029492514","0.006088","0.006429","-5.6011826544021055"
"10920","1","control/empty-command-buffer>append-compaction/portable>append-compaction/wave-ops>exclusive-scan/portable>exclusive-scan/wave-ops>histogram-16/portable>histogram-16/wave-ops>radix-sort-32/portable>radix-sort-32/wave-ops>stable-compaction/portable>stable-compaction/wave-ops","histogram-16","0.208373","0.255562","-22.646408123893213","-0.04718900000000001","0.715776","0.709632","0.8583690987124363","0.234809","0.280286","-19.367656265304987","0.739406","0.7536","-1.919649015561145","0.005642","0.005562","1.4179369018078731"
"10920","1","control/empty-command-buffer>append-compaction/portable>append-compaction/wave-ops>exclusive-scan/portable>exclusive-scan/wave-ops>histogram-16/portable>histogram-16/wave-ops>radix-sort-32/portable>radix-sort-32/wave-ops>stable-compaction/portable>stable-compaction/wave-ops","radix-sort-32","2.810414","2.770627","1.4156988970308295","0.03978700000000002","3.3792","3.350528","0.8484848484848428","2.833405","2.792869","1.4306461660087388","3.480903","3.463201","0.5085462019481692","0.01429","0.014299","-0.06298110566828966"
"10920","1","control/empty-command-buffer>append-compaction/portable>append-compaction/wave-ops>exclusive-scan/portable>exclusive-scan/wave-ops>histogram-16/portable>histogram-16/wave-ops>radix-sort-32/portable>radix-sort-32/wave-ops>stable-compaction/portable>stable-compaction/wave-ops","stable-compaction","0.041785","0.029511","29.37417733636473","0.012274000000000004","0.043008","0.03072","28.571428571428566","0.212932","0.215355","-1.1379219656979602","0.375206","0.431895","-15.108766917373387","0.007183","0.007566","-5.332033969093689"
"10920","2","stable-compaction/wave-ops>stable-compaction/portable>radix-sort-32/wave-ops>radix-sort-32/portable>histogram-16/wave-ops>histogram-16/portable>exclusive-scan/wave-ops>exclusive-scan/portable>append-compaction/wave-ops>append-compaction/portable>control/empty-command-buffer","append-compaction","0.023376","0.02376","-1.642710472279256","-0.0003839999999999989","0.024576","0.024576","0","0.18848","0.190315","-0.9735780984719882","0.447399","0.464498","-3.821868175834106","0.005276","0.005467","-3.620166793025006"
"10920","2","stable-compaction/wave-ops>stable-compaction/portable>radix-sort-32/wave-ops>radix-sort-32/portable>histogram-16/wave-ops>histogram-16/portable>exclusive-scan/wave-ops>exclusive-scan/portable>append-compaction/wave-ops>append-compaction/portable>control/empty-command-buffer","exclusive-scan","0.031711","0.019405","38.80672321907226","0.012306000000000004","0.032768","0.02048","37.49999999999999","0.198667","0.202428","-1.89311762899726","0.422499","0.431101","-2.035981150251243","0.005787","0.006155","-6.359080698116474"
"10920","2","stable-compaction/wave-ops>stable-compaction/portable>radix-sort-32/wave-ops>radix-sort-32/portable>histogram-16/wave-ops>histogram-16/portable>exclusive-scan/wave-ops>exclusive-scan/portable>append-compaction/wave-ops>append-compaction/portable>control/empty-command-buffer","histogram-16","0.19334","0.253977","-31.362884038481425","-0.060636999999999996","0.648192","0.707584","-9.162717219589258","0.218111","0.280073","-28.408470916184886","0.613896","0.747003","-21.682337073380502","0.005603","0.005858","-4.551133321434945"
"10920","2","stable-compaction/wave-ops>stable-compaction/portable>radix-sort-32/wave-ops>radix-sort-32/portable>histogram-16/wave-ops>histogram-16/portable>exclusive-scan/wave-ops>exclusive-scan/portable>append-compaction/wave-ops>append-compaction/portable>control/empty-command-buffer","radix-sort-32","2.805177","2.76527","1.422619677831378","0.039906999999999915","3.382272","3.342336","1.180744777475022","2.828211","2.787509","1.4391429776632654","3.486501","3.445904","1.1644052303441184","0.013392","0.014671","-9.550477897252097"
"10920","2","stable-compaction/wave-ops>stable-compaction/portable>radix-sort-32/wave-ops>radix-sort-32/portable>histogram-16/wave-ops>histogram-16/portable>exclusive-scan/wave-ops>exclusive-scan/portable>append-compaction/wave-ops>append-compaction/portable>control/empty-command-buffer","stable-compaction","0.041753","0.029552","29.22185232198884","0.012201","0.043008","0.03072","28.571428571428566","0.20941","0.215772","-3.0380593094885526","0.374199","0.377905","-0.9903821228811373","0.006968","0.007464","-7.118254879448909"
"10920","3","append-compaction/portable>append-compaction/wave-ops>exclusive-scan/portable>exclusive-scan/wave-ops>histogram-16/portable>histogram-16/wave-ops>radix-sort-32/portable>radix-sort-32/wave-ops>stable-compaction/portable>stable-compaction/wave-ops>control/empty-command-buffer","append-compaction","0.023426","0.023761","-1.4300350038418934","-0.00033500000000000196","0.024576","0.024576","0","0.19191","0.189193","1.415767807826584","0.455804","0.4072","10.66335530184026","0.005465","0.005663","-3.6230558096980676"
"10920","3","append-compaction/portable>append-compaction/wave-ops>exclusive-scan/portable>exclusive-scan/wave-ops>histogram-16/portable>histogram-16/wave-ops>radix-sort-32/portable>radix-sort-32/wave-ops>stable-compaction/portable>stable-compaction/wave-ops>control/empty-command-buffer","exclusive-scan","0.031754","0.01944","38.77936637903886","0.012313999999999999","0.032768","0.02048","37.49999999999999","0.199413","0.193192","3.1196561909203533","0.421301","0.386203","8.33086083346585","0.00583","0.006053","-3.8250428816466573"
"10920","3","append-compaction/portable>append-compaction/wave-ops>exclusive-scan/portable>exclusive-scan/wave-ops>histogram-16/portable>histogram-16/wave-ops>radix-sort-32/portable>radix-sort-32/wave-ops>stable-compaction/portable>stable-compaction/wave-ops>control/empty-command-buffer","histogram-16","0.195279","0.25884","-32.54881477270982","-0.063561","0.652288","0.710656","-8.948194662480374","0.221851","0.281893","-27.064110596751878","0.638102","0.766603","-20.138003015191945","0.005761","0.005641","2.08297170630098"
"10920","3","append-compaction/portable>append-compaction/wave-ops>exclusive-scan/portable>exclusive-scan/wave-ops>histogram-16/portable>histogram-16/wave-ops>radix-sort-32/portable>radix-sort-32/wave-ops>stable-compaction/portable>stable-compaction/wave-ops>control/empty-command-buffer","radix-sort-32","2.787755","2.784843","0.10445681202258619","0.0029120000000002477","3.364864","3.356672","0.243457090687759","2.81171","2.807662","0.14396932827354356","3.4607","3.476998","-0.4709451845002434","0.013577","0.014368","-5.826029314281506"
"10920","3","append-compaction/portable>append-compaction/wave-ops>exclusive-scan/portable>exclusive-scan/wave-ops>histogram-16/portable>histogram-16/wave-ops>radix-sort-32/portable>radix-sort-32/wave-ops>stable-compaction/portable>stable-compaction/wave-ops>control/empty-command-buffer","stable-compaction","0.041731","0.029484","29.347487479331907","0.012246999999999997","0.043008","0.03072","28.571428571428566","0.219246","0.207535","5.341488556233637","0.413797","0.403501","2.4881765696706424","0.006977","0.007117","-2.0065930915866472"
